Repository,Description,Last Updated,New Home
myst-templates,A GitHub organization with templates for MyST renderers. Will remain a github org but move governance under the jupyter-book org.,2/28/2024,jupyter-book
mystmd,Command line tools for working with MyST Markdown.,2/9/2024,jupyter-book
myst-theme,Packages for creating MyST websites themes using React and Remix,2/8/2024,jupyter-book
jupyter-book,"Create beautiful, publication-quality books and documents from computational content.",2/8/2024,jupyter-book
jupyterlab-myst,Use MyST Markdown directly in Jupyter Lab,2/6/2024,jupyter-book
jupyter-cache,A defined interface for working with a cache of executed jupyter notebooks,1/29/2024,jupyter-book
jupyter-cache-upgrader,,1/25/2024,jupyter-book
myst-spec,"MyST is designed to create publication-quality, computational documents written entirely in Markdown.",1/24/2024,jupyter-book
thebe,Turn static HTML pages into live documents with Jupyter kernels.,1/20/2024,jupyter-book
cookiecutter-jupyter-book,Cookiecutter template for a simple jupyter book,11/29/2023,jupyter-book
github-activity,Simple markdown changelogs for GitHub repositories,11/22/2023,jupyter-book
myst-enhancement-proposals,MyST Enhancement Proposals (MEPs),10/9/2023,jupyter-book
mystmd.org,A splash page for the MyST Markdown ecosystem,8/2/2023,jupyter-book
jupyterlab-myst-quickstart,Quickstart examples for working with MyST in Jupyter,7/5/2023,jupyter-book
github-action-demo,A demonstration repository to build and host a book with GitHub Actions,6/21/2023,jupyter-book
myst-theme-patches,A minimal repository containing essential patches for myst-theme deveopment,6/14/2023,jupyter-book
thebe-binder-base,A minimal binder setup for thebe demos,4/27/2023,jupyter-book
myst-vs-code,A syntax highlighter for the MyST Markdown format,3/6/2023,jupyter-book
mystmd-quickstart,Repository to be used in the mystjs quickstart guide,1/25/2023,jupyter-book
thebe-core,Typescript based Jupyter connectivity and code execution layer for thebe,8/22/2022,jupyter-book
myst-demo,A web-component for interactive myst demos in documentation.,6/20/2022,jupyter-book
unified-myst,A repository of packages for working with MyST in the https://unifiedjs.com/ ecosystem,4/30/2022,jupyter-book
sphinx-book-theme,A clean book theme for scientific explanations and documentation with Sphinx,2/9/2024,executablebooks
meta,A community dedicated to supporting tools for technical and scientific communication and interactive computing,2/8/2024,executablebooks
sphinx-thebe,"A Sphinx extension to convert static code into interactive code cells with Jupyter, Thebe, and Binder.",2/7/2024,executablebooks
mdformat-tables,An mdformat plugin for rendering tables,2/7/2024,executablebooks
mdformat,CommonMark compliant Markdown formatter,2/6/2024,executablebooks
